서비스구분,서비스ID,대분류명,소분류명,서비스상태,서비스명
자체,S260709085252113893,체육시설,풋살장,접수중,9월 서서울호수공원 풋살장 대여 (평일주간 08시 이전) 8월 5일 오후2시 접수
자체,S260709130728954099,체육시설,풋살장,접수중,9월 서서울호수공원 풋살장 대여 (평일주간 08시 이후) 8월 5일 오후2시 접수
자체,S260722155051628235,체육시설,풋살장,접수중,"9월 서서울호수공원 풋살장 대여 (평일야간, 주말, 공휴일) 8월 5일 오후2시 접수"
자체,S260730153750703793,체육시설,풋살장,안내중,10월 서서울호수공원 풋살장 대여 (평일주간 08시 이전) 9월 4일 오후2시 접수
자체,S260730154544287793,체육시설,풋살장,안내중,10월 서서울호수공원 풋살장 대여 (평일주간 08시 이후) 9월 4일 오후2시 접수
자체,S260730160251089306,체육시설,풋살장,안내중,"10월 서서울호수공원 풋살장 대여 (평일야간, 주말, 공휴일) 9월 4일 오후2시 접수"
자체,S260626100431275656,체육시설,야구장,접수종료,26년 8월 신월야구장 공개 추첨 및 선착순 접수 계획
자체,S260826150114243269,체육시설,야구장,안내중,26년 10월 신월야구장 공개 추첨 및 선착순 접수 계획
자체,S230428115408736358,체육시설,테니스장,예약마감,서울에너지공사 목동 테니스장 1면 (공휴일) 08:00~18:00
자체,S230425174848455942,체육시설,테니스장,예약마감,서울에너지공사 목동 테니스장 2면 (공휴일) 08:00~18:00
자체,S260727144742322007,체육시설,야구장,접수종료,26년 9월 신월야구장 공개 추첨 및 선착순 접수 계획
자체,S260812075604051573,체육시설,야구장,접수종료,26년 09월 평일 주간 신월야구장( 선착순)
연계,XML-changdong11,체육시설,골프장,접수중,창동문화체육센터 스크린파크골프장
연계,XML-Dobongdong,체육시설,체육관,안내중,도봉동실내스포츠센터 실내체육관
자체,S250825134156226942,체육시설,체육관,예약마감,창동문화체육센터 실내체육관 대관(주말)
자체,S251117162716871922,체육시설,체육관,예약마감,쌍문종합체육센터 실내체육관 대관(토)
자체,S260116101639588541,체육시설,테니스장,접수중,다락원체육공원 실내·실외 테니스장 대관
자체,S260224130608753631,체육시설,체육관,접수종료,도봉동실내스포츠센터 실내체육관 대관(주말)
연계,XML-changdong,체육시설,풋살장,접수중,창동문화체육센터 풋살구장
자체,S260520140134270175,체육시설,골프장,예약마감,서울디지털동행플라자 도봉센터 스크린 파크골프
연계,XML-dobongdongb,체육시설,골프장,접수중,도봉동실내스포츠센터 별관 스크린 파크골프 대관
자체,S251209090453675144,체육시설,축구장,접수중,2026년 보라매공원 인조잔디 축구장(발달장애)
자체,S251209095024061685,체육시설,축구장,접수중,2026년 보라매공원 인조잔디 축구장(평일주간)
자체,S251209100846015400,체육시설,축구장,예약마감,2026년 9월 보라매공원 인조잔디 축구장(평일야간)
자체,S251209131904970635,체육시설,축구장,접수종료,2026년 9월 보라매공원 인조잔디 축구장(토/일/공휴일 야간)
자체,S251209133301887008,체육시설,축구장,접수종료,2026년 9월 보라매공원 인조잔디 축구장(토/일/공휴일 주간)
자체,S260721101138808675,체육시설,축구장,예약마감,(26.8월)동작구 노들나루공원 축구장
자체,S260721102733003691,체육시설,풋살장,예약마감,(26.8월)동작구 노들나루공원 풋살장
자체,S260721103444811279,체육시설,족구장,예약마감,(26.8월)동작구 노들나루공원 족구장
자체,S260821142440359268,체육시설,축구장,접수중,(26.9월)동작구 노들나루공원 축구장
자체,S260821150102379034,체육시설,풋살장,접수중,(26.9월)동작구 노들나루공원 풋살장
자체,S260821154931394637,체육시설,족구장,접수중,(26.9월)동작구 노들나루공원 족구장
자체,S260608154916849108,체육시설,축구장,접수종료,(평일-동작구)(추첨)26.7~8월 노량진 축구장
자체,S260608163948100913,체육시설,축구장,접수종료,(주말-동작구)(추첨)26.7~8월 노량진 축구장
자체,S260714135703382633,체육시설,축구장,예약마감,(평일-전국)26.8월 노량진 축구장
자체,S260714144345847679,체육시설,축구장,예약마감,(주말-전국)26.8월 노량진 축구장
자체,S260714145130409149,체육시설,야구장,예약마감,(평일주간)26.8월 노량진 야구장
자체,S260714155730650162,체육시설,야구장,예약마감,"(평일야간,주말주간)26.8월 노량진 야구장"
자체,S260714162842206290,체육시설,야구장,예약마감,(주말야간)26.8월 노량진 야구장
